planet,species,z_exobase_km,knudsen,lambda_mfp_km,mass_amu,radius_AA,z_max_km,H0_km
earth_like,Ti I,223,1.0,9,47.867,2.46,1000,8.4
earth_like,Na I,223,0.99,9,22.99,2.5,1000,8.4
earth_like,Mg I,224,1.0,9,24.305,2.51,1000,8.4
earth_like,OCS,224,1.0,9,60.075,2.55,1000,8.4
earth_like,Sc I,224,1.0,9,44.956,2.58,1000,8.4
earth_like,Ca I,224,0.99,9,40.078,2.62,1000,8.4
earth_like,SO2,224,1.0,9,64.066,2.65,1000,8.4
earth_like,K I,224,1.0,9,39.098,2.73,1000,8.4
earth_like,H2O,225,1.0,9,18.015,2.75,1000,8.4
earth_like,NaCl,225,1.0,9,58.443,2.8,1000,8.4
earth_like,H2S,225,1.0,9,34.081,2.9,1000,8.4
hot_jupiter,H I,7034,1.0,381,1.008,1.2,32669,326.7
hot_jupiter,He I,7100,1.0,383,4.003,1.43,32669,326.7
hot_jupiter,H2,7103,1.0,382,2.016,1.45,32669,326.7
hot_jupiter,F I,7110,1.0,383,18.998,1.47,32669,326.7
hot_jupiter,O I,7116,1.0,382,15.999,1.5,32669,326.7
hot_jupiter,Be I,7126,1.0,384,9.012,1.53,32669,326.7
hot_jupiter,Ne I,7129,1.0,385,20.18,1.54,32669,326.7
hot_jupiter,N I,7159,1.0,384,14.007,1.66,32669,326.7
hot_jupiter,Cl I,7178,1.0,382,35.45,1.75,32669,326.7
hot_jupiter,OH,7178,1.0,382,17.007,1.75,32669,326.7
hot_jupiter,C I,7185,1.0,384,12.011,1.77,32669,326.7
hot_jupiter,Li I,7198,1.0,385,6.94,1.82,32669,326.7
hot_jupiter,Ar I,7211,1.0,384,39.948,1.88,32669,326.7
hot_jupiter,P I,7214,1.0,383,30.974,1.9,32669,326.7
hot_jupiter,S I,7214,1.0,385,32.06,1.89,32669,326.7
hot_jupiter,B I,7221,1.0,385,10.81,1.92,32669,326.7
hot_jupiter,CH4,7237,1.0,384,16.042,2.0,32669,326.7
hot_jupiter,O2,7250,1.0,386,31.999,2.05,32669,326.7
hot_jupiter,CO,7260,1.0,385,28.01,2.1,32669,326.7
hot_jupiter,NO,7270,1.0,384,30.006,2.15,32669,326.7
hot_jupiter,NH3,7279,1.0,383,17.031,2.2,32669,326.7
hot_jupiter,SO,7279,1.0,383,48.059,2.2,32669,326.7
hot_jupiter,Si I,7279,1.0,385,28.085,2.19,32669,326.7
hot_jupiter,SiO,7279,1.0,383,44.084,2.2,32669,326.7
hot_jupiter,Al I,7293,1.0,386,26.982,2.25,32669,326.7
hot_jupiter,HCN,7293,1.0,386,27.026,2.25,32669,326.7
hot_jupiter,CO2,7302,1.0,385,44.01,2.3,32669,326.7
hot_jupiter,TiO,7302,1.0,385,63.866,2.3,32669,326.7
hot_jupiter,PH3,7312,1.0,385,33.998,2.35,32669,326.7
hot_jupiter,C3,7322,1.0,385,36.033,2.4,32669,326.7
hot_jupiter,V I,7325,1.0,384,50.941,2.42,32669,326.7
hot_jupiter,Fe I,7328,1.0,384,55.845,2.44,32669,326.7
hot_jupiter,Cr I,7332,1.0,385,51.996,2.45,32669,326.7
hot_jupiter,Mn I,7332,1.0,385,54.938,2.45,32669,326.7
hot_jupiter,Ti I,7335,1.0,386,47.867,2.46,32669,326.7
hot_jupiter,Na I,7342,1.0,385,22.99,2.5,32669,326.7
hot_jupiter,Mg I,7345,1.0,386,24.305,2.51,32669,326.7
hot_jupiter,OCS,7351,1.0,385,60.075,2.55,32669,326.7
hot_jupiter,Sc I,7358,1.0,386,44.956,2.58,32669,326.7
hot_jupiter,Ca I,7364,1.0,385,40.078,2.62,32669,326.7
hot_jupiter,SO2,7371,1.0,386,64.066,2.65,32669,326.7
hot_jupiter,K I,7384,1.0,384,39.098,2.73,32669,326.7
hot_jupiter,H2O,7391,1.0,387,18.015,2.75,32669,326.7
hot_jupiter,NaCl,7397,1.0,384,58.443,2.8,32669,326.7
hot_jupiter,H2S,7417,1.0,386,34.081,2.9,32669,326.7
hot_neptune,H I,10495,1.0,781,1.008,1.2,40930,409.3
hot_neptune,He I,10626,1.0,790,4.003,1.43,40930,409.3
hot_neptune,H2,10635,1.0,788,2.016,1.45,40930,409.3
hot_neptune,F I,10647,1.0,790,18.998,1.47,40930,409.3
hot_neptune,O I,10663,1.0,791,15.999,1.5,40930,409.3
hot_neptune,Be I,10676,1.0,788,9.012,1.53,40930,409.3
hot_neptune,Ne I,10684,1.0,792,20.18,1.54,40930,409.3
hot_neptune,N I,10745,1.0,794,14.007,1.66,40930,409.3
hot_neptune,Cl I,10786,1.0,793,35.45,1.75,40930,409.3
hot_neptune,OH,10786,1.0,793,17.007,1.75,40930,409.3
hot_neptune,C I,10798,1.0,796,12.011,1.77,40930,409.3
hot_neptune,Li I,10823,1.0,797,6.94,1.82,40930,409.3
hot_neptune,Ar I,10852,1.0,798,39.948,1.88,40930,409.3
hot_neptune,S I,10856,1.0,798,32.06,1.89,40930,409.3
hot_neptune,P I,10860,1.0,797,30.974,1.9,40930,409.3
hot_neptune,B I,10868,1.0,797,10.81,1.92,40930,409.3
hot_neptune,CH4,10905,1.0,798,16.042,2.0,40930,409.3
hot_neptune,O2,10929,1.0,800,31.999,2.05,40930,409.3
hot_neptune,CO,10954,1.0,803,28.01,2.1,40930,409.3
hot_neptune,NO,10974,1.0,803,30.006,2.15,40930,409.3
hot_neptune,Si I,10991,1.0,802,28.085,2.19,40930,409.3
hot_neptune,NH3,10995,1.0,802,17.031,2.2,40930,409.3
hot_neptune,SO,10995,1.0,802,48.059,2.2,40930,409.3
hot_neptune,SiO,10995,1.0,802,44.084,2.2,40930,409.3
hot_neptune,Al I,11019,1.0,806,26.982,2.25,40930,409.3
hot_neptune,HCN,11019,1.0,806,27.026,2.25,40930,409.3
hot_neptune,CO2,11040,1.0,805,44.01,2.3,40930,409.3
hot_neptune,TiO,11040,1.0,805,63.866,2.3,40930,409.3
hot_neptune,PH3,11060,1.0,806,33.998,2.35,40930,409.3
hot_neptune,C3,11081,1.0,806,36.033,2.4,40930,409.3
hot_neptune,V I,11089,1.0,806,50.941,2.42,40930,409.3
hot_neptune,Fe I,11097,1.0,806,55.845,2.44,40930,409.3
hot_neptune,Cr I,11101,1.0,806,51.996,2.45,40930,409.3
hot_neptune,Mn I,11101,1.0,806,54.938,2.45,40930,409.3
hot_neptune,Ti I,11105,1.0,807,47.867,2.46,40930,409.3
hot_neptune,Na I,11122,1.0,807,22.99,2.5,40930,409.3
hot_neptune,Mg I,11126,1.0,807,24.305,2.51,40930,409.3
