species	b_label	b_effective_kms	star_key	teff_k	beta	beta_err	n_half_beta_cm2
H2S	100	100.0	M6	3000	4.2742889426892647e-07		3.619833394163262e+19
H2S	100	100.0	K1	5000	5.985974637550444e-06		3.756156105797867e+19
H2S	100	100.0	F8	6000	1.1019819529720684e-05		3.813965479754867e+19
H2S	100	100.0	A6	8000	2.0548475691353187e-05		3.924396697117525e+19
H2S	100	100.0	A0	10000	3.640851816229575e-05		3.962746222006539e+19
H2S	100	100.0	B5	15000	6.139727417065633e-05		3.994008800907406e+19
H2S	100	100.0	B0	30000	9.495945999504808e-05		4.105526524177463e+19
H2S	100	100.0	O0	50000	0.0002077975944125664		4.129542164671216e+19
HCN	0	1e-20	M6	3000	0.0		
HCN	0	1e-20	K1	5000	0.0		
HCN	0	1e-20	F8	6000	0.0		
HCN	0	1e-20	A6	8000	0.0		
HCN	0	1e-20	A0	10000	0.0		
HCN	0	1e-20	B5	15000	0.0		
HCN	0	1e-20	B0	30000	0.0		
HCN	0	1e-20	O0	50000	0.0		
HCN	1	1.0	M6	3000	1.4745676771210948e-05		2336332138522123.5
HCN	1	1.0	K1	5000	0.00021526542575312632		2368989261878585.5
HCN	1	1.0	F8	6000	0.00039045594815519504		2405083258707076.0
HCN	1	1.0	A6	8000	0.000748971176107917		2411987172342779.5
HCN	1	1.0	A0	10000	0.0013303472350259232		2416897300477351.0
HCN	1	1.0	B5	15000	0.002175774476723996		2440696275697089.5
HCN	1	1.0	B0	30000	0.003263262679516286		2480944644081487.5
HCN	1	1.0	O0	50000	0.0070914021862880025		2489815466712382.5
HCN	10	10.0	M6	3000	1.6041437133429268e-05		2.3819855426044028e+16
HCN	10	10.0	K1	5000	0.00021558649189386075		2.375738749511252e+16
HCN	10	10.0	F8	6000	0.0003908825124466113		2.4067324053255796e+16
HCN	10	10.0	A6	8000	0.0007490603246901195		2.4121638675274732e+16
HCN	10	10.0	A0	10000	0.0013303644647457483		2.4169157746031788e+16
HCN	10	10.0	B5	15000	0.0021757768651668673		2.4406923876336724e+16
HCN	10	10.0	B0	30000	0.003263042919299616		2.4808494444746732e+16
HCN	10	10.0	O0	50000	0.007091395717541861		2.4898012273690776e+16
HCN	100	100.0	M6	3000	1.6697116974696625e-05		2.3257995409894342e+17
HCN	100	100.0	K1	5000	0.0002159656192989369		2.3779657357090976e+17
HCN	100	100.0	F8	6000	0.0003945704078024535		2.4043665715915363e+17
HCN	100	100.0	A6	8000	0.0007534640922939607		2.4149564189701085e+17
HCN	100	100.0	A0	10000	0.0013316893328608886		2.4176175084739392e+17
HCN	100	100.0	B5	15000	0.00217593484273656		2.4407872748445286e+17
HCN	100	100.0	B0	30000	0.003261133835099721		2.4811749061078608e+17
HCN	100	100.0	O0	50000	0.007091222126495266		2.4898568187342883e+17
NO	0	1e-20	M6	3000	0.0		
NO	0	1e-20	K1	5000	0.0		
NO	0	1e-20	F8	6000	0.0		
NO	0	1e-20	A6	8000	0.0		
NO	0	1e-20	A0	10000	0.0		
NO	0	1e-20	B5	15000	0.0		
NO	0	1e-20	B0	30000	0.0		
NO	0	1e-20	O0	50000	0.0		
NO	1	1.0	M6	3000	1.2089941823385734e-07		6.351284557694495e+17
NO	1	1.0	K1	5000	5.97076218463913e-06		584402643820110.9
NO	1	1.0	F8	6000	0.0005803066225893769		283739394264018.6
NO	1	1.0	A6	8000	0.3915400102258324		233003399874440.16
NO	1	1.0	A0	10000	5.696748454551394		236457173812231.34
NO	1	1.0	B5	15000	53.66176963063866		237657522685790.06
NO	1	1.0	B0	30000	480.92507750616954		243855231581585.4
NO	1	1.0	O0	50000	1636.7622976801172		249373776792841.72
NO	10	10.0	M6	3000	1.1818109867200063e-07		6.203579839034662e+18
NO	10	10.0	K1	5000	6.257957087168321e-06		5998470477451999.0
NO	10	10.0	F8	6000	0.0005123016312411835		3671202273896156.0
NO	10	10.0	A6	8000	0.3347428556334327		2404813707546271.5
NO	10	10.0	A0	10000	5.04506162944043		2486513889493553.0
NO	10	10.0	B5	15000	46.01158265496178		2464781054260002.5
NO	10	10.0	B0	30000	438.73566174685584		2462345738297690.0
NO	10	10.0	O0	50000	1477.703963377792		2521267631248073.0
NO	100	100.0	M6	3000	1.2302204362450217e-07		6.165686177735084e+19
NO	100	100.0	K1	5000	4.541175341682281e-06		1.7354174473738256e+17
NO	100	100.0	F8	6000	0.0013335466220845914		3.5105729387738844e+16
NO	100	100.0	A6	8000	0.46859517840231996		8935690979634249.0
NO	100	100.0	A0	10000	6.6317169138400835		8664436832824561.0
NO	100	100.0	B5	15000	62.683167095963064		8649718105510541.0
NO	100	100.0	B0	30000	566.7466473694075		8966858252226569.0
NO	100	100.0	O0	50000	1907.1619956791421		9113168105868432.0
NaCl	0	1e-20	M6	3000	0.0		
NaCl	0	1e-20	K1	5000	0.0		
NaCl	0	1e-20	F8	6000	0.0		
NaCl	0	1e-20	A6	8000	0.0		
NaCl	0	1e-20	A0	10000	0.0		
NaCl	0	1e-20	B5	15000	0.0		
NaCl	0	1e-20	B0	30000	0.0		
NaCl	0	1e-20	O0	50000	0.0		
NaCl	1	1.0	M6	3000	1.1481585770154417e-16		5.683197074412111e+25
NaCl	1	1.0	K1	5000	9.49863508110104e-16		5.68389510396527e+25
NaCl	1	1.0	F8	6000	1.7198190741026802e-15		5.683834435769126e+25
NaCl	1	1.0	A6	8000	3.2750894398416636e-15		5.6851728383264455e+25
NaCl	1	1.0	A0	10000	5.7065991904683856e-15		5.685904842361569e+25
NaCl	1	1.0	B5	15000	9.138550319903614e-15		5.68636418617044e+25
NaCl	1	1.0	B0	30000	1.3198663289841342e-14		5.687014415892533e+25
NaCl	1	1.0	O0	50000	2.8344709718071604e-14		5.687339922703387e+25
NaCl	10	10.0	M6	3000	1.1232663029651537e-16		5.59838341875018e+26
NaCl	10	10.0	K1	5000	9.502210314777752e-16		5.6840707864169904e+26
