species,b_label,b_effective_kms,star_key,teff_k,n_tau1_cm2,tau_check,beta,beta_err
H I,100,100.0,O0,50000,131935418621917.11,1.0,1289797.132789423,939.8583053911804
He I,0,1e-20,M6,3000,35927672920.458916,1.0,1.8629790665368141e-56,6.85033371819019e-59
He I,0,1e-20,K1,5000,35927672920.458916,1.0,2.4121455344824048e-33,8.868438743777518e-36
He I,0,1e-20,F8,6000,35927672920.458916,1.0,1.795139053376992e-10,6.548071995485027e-13
He I,0,1e-20,A6,8000,35927672920.458916,1.0,4.184538732273615e-15,1.5330209949781876e-17
He I,0,1e-20,A0,10000,35927672920.458916,1.0,6.522883616826165e-10,2.3688708575175324e-12
He I,0,1e-20,B5,15000,35927672920.458916,1.0,0.05542056232050496,0.00017621152399532563
He I,0,1e-20,B3,19000,35927672920.458916,1.0,0.8378942076781922,0.0018665303402946212
He I,0,1e-20,B0,30000,35927672920.458916,1.0,584.6997961445106,1.6833004447049693
He I,0,1e-20,O0,50000,35927672920.458916,1.0,137425.78562182756,330.2958310899163
He I,1,1.0,M6,3000,4176297627713.5596,1.0,1.2803620661806275e-56,1.5040753915015896e-59
He I,1,1.0,K1,5000,4176297627713.5596,1.0,1.6579174998490927e-33,1.947175460320269e-36
He I,1,1.0,F8,6000,4176297627713.5596,1.0,1.2396413727108555e-10,1.43805859998155e-13
He I,1,1.0,A6,8000,4176297627713.5596,1.0,2.882150835992896e-15,3.366123360740191e-18
He I,1,1.0,A0,10000,4176297627713.5596,1.0,4.516475468948034e-10,5.20403585482669e-13
He I,1,1.0,B5,15000,4176297627713.5596,1.0,0.05919150963711789,0.00012407610042845674
He I,1,1.0,B3,19000,4176297627713.5596,1.0,0.7712664408105142,0.0009108982349498538
He I,1,1.0,B0,30000,4176297627713.5596,1.0,463.598005499266,0.42491858051369125
He I,1,1.0,O0,50000,4176297627713.5596,1.0,118812.14761751737,110.5803462865721
He I,10,10.0,M6,3000,41410748466001.72,1.0,1.277502701043474e-56,1.4548172322027611e-59
He I,10,10.0,K1,5000,41410748466001.72,1.0,1.6542125596610004e-33,1.8833960212083024e-36
He I,10,10.0,F8,6000,41410748466001.72,1.0,1.2370200230340437e-10,1.391237299487126e-13
He I,10,10.0,A6,8000,41410748466001.72,1.0,2.8757569741824433e-15,3.2558661915633674e-18
He I,10,10.0,A0,10000,41410748466001.72,1.0,4.5066795851866926e-10,5.033764108109247e-13
He I,10,10.0,B5,15000,41410748466001.72,1.0,0.06044374701206956,0.0001273772446217932
He I,10,10.0,B3,19000,41410748466001.72,1.0,0.7804600752235866,0.000930866825766505
He I,10,10.0,B0,30000,41410748466001.72,1.0,462.94084550340807,0.4147825477792256
He I,10,10.0,O0,50000,41410748466001.72,1.0,118807.61068309809,109.3014930180776
He I,100,100.0,M6,3000,413755959984410.4,1.0,1.278181957874761e-56,1.4518525913741501e-59
He I,100,100.0,K1,5000,413755959984410.4,1.0,1.6546598805562968e-33,1.8784137129605644e-36
He I,100,100.0,F8,6000,413755959984410.4,1.0,1.2623788290393307e-10,1.447122565900823e-13
He I,100,100.0,A6,8000,413755959984410.4,1.0,2.8753027280710394e-15,3.245132294784976e-18
He I,100,100.0,A0,10000,413755959984410.4,1.0,4.506305662925003e-10,5.016760106485568e-13
He I,100,100.0,B5,15000,413755959984410.4,1.0,0.07835252871303679,0.0001719464581991817
He I,100,100.0,B3,19000,413755959984410.4,1.0,1.1555327468491456,0.001618283734803166
He I,100,100.0,B0,30000,413755959984410.4,1.0,469.87385991698545,0.4272655749080374
He I,100,100.0,O0,50000,413755959984410.4,1.0,124410.55197414373,114.81020407102791
He II,0,1e-20,M6,3000,,,,
He II,0,1e-20,K1,5000,,,,
He II,0,1e-20,F8,6000,,,,
He II,0,1e-20,A6,8000,,,,
He II,0,1e-20,A0,10000,,,,
He II,0,1e-20,B5,15000,,,,
He II,0,1e-20,B3,19000,,,,
He II,0,1e-20,B0,30000,,,,
He II,0,1e-20,O0,50000,,,,
He II,1,1.0,M6,3000,,,,
He II,1,1.0,K1,5000,,,,
He II,1,1.0,F8,6000,,,,
He II,1,1.0,A6,8000,,,,
He II,1,1.0,A0,10000,,,,
He II,1,1.0,B5,15000,,,,
He II,1,1.0,B3,19000,,,,
He II,1,1.0,B0,30000,,,,
He II,1,1.0,O0,50000,,,,
He II,10,10.0,M6,3000,,,,
He II,10,10.0,K1,5000,,,,
He II,10,10.0,F8,6000,,,,
He II,10,10.0,A6,8000,,,,
He II,10,10.0,A0,10000,,,,
He II,10,10.0,B5,15000,,,,
He II,10,10.0,B3,19000,,,,
He II,10,10.0,B0,30000,,,,
He II,10,10.0,O0,50000,,,,
He II,100,100.0,M6,3000,,,,
He II,100,100.0,K1,5000,,,,
He II,100,100.0,F8,6000,,,,
He II,100,100.0,A6,8000,,,,
He II,100,100.0,A0,10000,,,,
He II,100,100.0,B5,15000,,,,
He II,100,100.0,B3,19000,,,,
He II,100,100.0,B0,30000,,,,
He II,100,100.0,O0,50000,,,,
Li I,0,1e-20,M6,3000,697839130.1590929,1.0,0.009161058122264172,2.2054572670590144e-05
Li I,0,1e-20,K1,5000,697839130.1590929,1.0,10.710593081163431,0.02576249586379433
Li I,0,1e-20,F8,6000,697839130.1590929,1.0,125.67947601188251,0.3021613711512725
Li I,0,1e-20,A6,8000,697839130.1590929,1.0,790.3883137125187,1.8935938582995344
Li I,0,1e-20,A0,10000,697839130.1590929,1.0,1813.9285202838441,4.322595369250482
Li I,0,1e-20,B5,15000,697839130.1590929,1.0,3971.2970285475294,9.303290778852281
Li I,0,1e-20,B3,19000,697839130.1590929,1.0,5051.563005970099,11.678941370507456
Li I,0,1e-20,B0,30000,697839130.1590929,1.0,9264.971735805188,20.763835677913505
Li I,0,1e-20,O0,50000,697839130.1590929,1.0,21858.794350126078,48.475626448167
Li I,1,1.0,M6,3000,200325942758.94028,0.9999999999999999,0.008154354788775678,8.808169662775875e-06
Li I,1,1.0,K1,5000,200325942758.94028,0.9999999999999999,9.199404834484561,0.009708280720472494
Li I,1,1.0,F8,6000,200325942758.94028,0.9999999999999999,106.84534182315696,0.11185177057294786
Li I,1,1.0,A6,8000,200325942758.94028,0.9999999999999999,672.9431489674713,0.7125045306227059
Li I,1,1.0,A0,10000,200325942758.94028,0.9999999999999999,1546.784478994047,1.6273695981885397
Li I,1,1.0,B5,15000,200325942758.94028,0.9999999999999999,3403.9691487493265,3.520101524716137
