species	b_label	b_effective_kms	star_key	teff_k	beta	beta_err	n_half_beta_cm2
S I	1	1.0	F8	6000	9.085834700934623e-05	1.6256232899938963e-05	4895444025145.998
S I	1	1.0	A6	8000	0.5157173363910376	0.09084897469798721	4888328098656.057
S I	1	1.0	A0	10000	58.25023718968399	4.696217372474569	5531769099109.746
S I	1	1.0	B5	15000	921.5377119113139	69.8369877830255	5866767401654.979
S I	1	1.0	B0	30000	13722.198612835118	1028.5124438074633	6181726643358.411
S I	1	1.0	O0	50000	46790.29277124085	3497.366465655986	6294495926463.533
S I	10	10.0	M6	3000	8.298025914528704e-10	2.0743402058837077e-10	1.702761605272623e+21
S I	10	10.0	K1	5000	1.1254892237154087e-06	1.9953777084726271e-07	51218651105304.56
S I	10	10.0	F8	6000	9.898054583060821e-05	1.7628057305818116e-05	50203637577507.24
S I	10	10.0	A6	8000	0.5172664509260593	0.09062166323326025	48589627973839.984
S I	10	10.0	A0	10000	58.29172333040549	4.676803474232038	54982555235365.88
S I	10	10.0	B5	15000	922.1237505804495	69.53499101387098	58368273431745.06
S I	10	10.0	B0	30000	13716.128393991854	1023.6935289376847	61444681416875.72
S I	10	10.0	O0	50000	46818.267696201015	3485.5042938665597	62595047864208.734
S I	100	100.0	M6	3000	8.276352145245913e-10	2.0688240088928888e-10	1.7344504553878904e+22
S I	100	100.0	K1	5000	2.675041374245137e-06	4.784013240893648e-07	590293079594794.4
S I	100	100.0	F8	6000	0.0003061616925879691	5.47820608980578e-05	669732897338614.4
S I	100	100.0	A6	8000	0.6940432077879122	0.12198279040939693	567407217498187.6
S I	100	100.0	A0	10000	59.87289919301503	4.809268466341482	555628986407088.44
S I	100	100.0	B5	15000	918.2511294962101	68.25376371141242	597196083971087.6
S I	100	100.0	B0	30000	13224.93981936788	972.8151985209827	612448460140126.8
S I	100	100.0	O0	50000	47105.28470697847	3511.3414681026575	624930855289268.0
S II	0	1e-20	M6	3000	3.0294601248405177e-12	1.4459947067605935e-12	97653390876.49825
S II	0	1e-20	K1	5000	1.2222059359214025e-09	5.724773170170424e-10	100177975269.16212
S II	0	1e-20	F8	6000	3.253791114571863e-08	6.960909326991898e-09	93851833687.38466
S II	0	1e-20	A6	8000	0.00010656231812396929	4.83447191366574e-05	57017788017.94718
S II	0	1e-20	A0	10000	0.3832794249500776	0.1784262805305489	55570746541.19814
S II	0	1e-20	B5	15000	64.83509587755955	21.758613695614866	65583611279.88461
S II	0	1e-20	B0	30000	3986.2310045502963	671.0709524312872	133479629171.13623
S II	0	1e-20	O0	50000	194216.34191238732	36376.11860060686	150198991498.73035
S II	1	1.0	M6	3000	1.2379787076200956e-11	2.6907788200390187e-12	4.4825822774366287e+20
S II	1	1.0	K1	5000	4.652588986616776e-09	1.0247315425663598e-09	4.2352394479111294e+20
S II	1	1.0	F8	6000	5.448692640432805e-08	7.475690100078709e-09	3.5673993865498984e+19
S II	1	1.0	A6	8000	0.00010804852642194828	2.966648695372515e-05	37883134570294.836
S II	1	1.0	A0	10000	0.38808755862145705	0.10950160252175001	36908243040892.99
S II	1	1.0	B5	15000	65.63921173404684	13.377186282768056	21782568635711.03
S II	1	1.0	B0	30000	4026.313534010576	432.9409925987039	2174273313574.524
S II	1	1.0	O0	50000	196030.81509981054	23938.33176972441	1274766223957.2556
S II	10	10.0	M6	3000	1.3102331815121725e-11	2.790082471819777e-12	4.686719893275109e+21
S II	10	10.0	K1	5000	4.441320007134442e-09	9.72262362447361e-10	4.566150892791972e+21
S II	10	10.0	F8	6000	5.433685130606272e-08	7.443994488696823e-09	3.415059479770019e+20
S II	10	10.0	A6	8000	0.00010810335038542885	2.9657345107850714e-05	378990012360279.3
S II	10	10.0	A0	10000	0.3881366679615637	0.10944428984250261	368935033861484.7
S II	10	10.0	B5	15000	65.67466703793667	13.357188941716947	217117132584590.47
S II	10	10.0	B0	30000	4034.7634790146226	415.81479956892167	19883544116517.33
S II	10	10.0	O0	50000	196561.88010221545	22646.09147829155	11695935058768.494
S II	100	100.0	M6	3000	1.2475862157444087e-11	2.5908608436497124e-12	4.672429466466858e+22
S II	100	100.0	K1	5000	3.759196320533327e-09	7.90115542475746e-10	4.3289826043593805e+22
S II	100	100.0	F8	6000	5.021678816400608e-08	6.551459237435643e-09	1.44273073833017e+20
S II	100	100.0	A6	8000	0.00011339038254568458	3.048500253518579e-05	3900448642974621.5
S II	100	100.0	A0	10000	0.39173341158292363	0.10883030961039195	3697457465007313.5
S II	100	100.0	B5	15000	64.41885735277823	13.078244564032946	2240802026710904.8
S II	100	100.0	B0	30000	4033.637091855071	414.03767816306254	198348083470388.34
S II	100	100.0	O0	50000	195285.87766619516	22391.562581072456	115199329819865.8
S III	0	1e-20	M6	3000	5.939560553477787e-25	9.697894832312042e-26	25306955422.397484
S III	0	1e-20	K1	5000	6.798222770956988e-14	1.1078417574236006e-14	25322661564.06901
S III	0	1e-20	F8	6000	1.345948226770832e-09	2.1941905218992075e-10	25323708399.591454
S III	0	1e-20	A6	8000	1.2533003233071821e-06	1.997953400248013e-07	25502317055.187714
S III	0	1e-20	A0	10000	0.002249394277092773	0.00034134205648140567	25914424334.1529
S III	0	1e-20	B5	15000	32.83255716395685	3.736951897963775	30466912102.01126
S III	0	1e-20	B0	30000	3145.9564519403375	236.54913984482093	47869348798.050835
S III	0	1e-20	O0	50000	198398.38666275382	13847.815426176046	73293447334.184
S III	1	1.0	M6	3000	4.102016670123697e-13	1.6408066680470756e-13	2.5677060888000477e+23
S III	1	1.0	K1	5000	1.0768482919770583e-11	4.27986447925773e-12	2.542164328495814e+23
S III	1	1.0	F8	6000	1.3922584153703521e-09	1.366474678437038e-10	23462436697523.418
S III	1	1.0	A6	8000	1.2691207520238274e-06	1.2396439943857288e-07	22512900085952.04
S III	1	1.0	A0	10000	0.0022776236581829624	0.00021178860336118775	22072349768851.152
S III	1	1.0	B5	15000	33.24360382009951	2.3192575034199874	18131472650154.836
S III	1	1.0	B0	30000	3182.8334605370073	147.9969554698121	4947593591832.828
S III	1	1.0	O0	50000	200556.19716044146	8903.373220645824	1171279293345.6406
S III	10	10.0	M6	3000	4.074272402775714e-13	1.6297089611079204e-13	2.5412076958085376e+24
